Country,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Average Income (2015-2024),Avg hours per year,Hourly Wages (estimated)
Burundi,BDI,GDP per capita (current US$),254.4025852,232.9378121,246.0607257,245.6616783,234.3106159,255.8324539,264.9803793,302.9925053,250.6272531,219.4248309,250.723084,2096,0.119619792
Central African Republic,CAF,GDP per capita (current US$),366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788973,516.161,452.493745,,
Afghanistan,AFG,GDP per capita (current US$),565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,413.7578947,,471.0404186,2059,0.228771451
Madagascar,MDG,GDP per capita (current US$),445.3200695,453.9707145,491.8668487,500.4571855,499.8188376,450.7716152,483.4694634,503.5145335,508.7184277,544.987501,488.2895197,1794,0.272179219
Mozambique,MOZ,GDP per capita (current US$),610.5637747,441.4897348,470.9385631,517.5072603,519.0925509,462.4338765,509.9078295,578.2516638,622.0002977,656.7768246,538.8962376,1893,0.284678414
Malawi,MWI,GDP per capita (current US$),539.6053632,450.5061055,495.7696834,533.2025672,580.8891398,602.5074782,617.4469945,604.2697404,633.214768,522.5703936,557.9982234,,
Niger,NER,GDP per capita (current US$),485.6625742,502.7064754,521.80413,578.5680357,561.6913043,579.5124958,608.7224396,609.7451476,638.3360809,735.2702558,582.2018939,2064,0.282074561
Liberia,LBR,GDP per capita (current US$),692.5900824,714.6130631,699.2690957,692.2031271,658.1641808,616.787867,667.9661051,744.6171752,799.1944702,851.4977239,713.690289,2480,0.287778342
Ethiopia,ETH,GDP per capita (current US$),597.9121132,641.6515233,696.3484291,739.7020223,793.4732472,829.7909825,893.0098354,982.1031615,1055.810916,1133.882797,836.3685028,1659,0.504140146
Guinea-Bissau,GNB,GDP per capita (current US$),645.0668372,679.6653866,783.1231866,808.5316132,811.2164259,846.9158557,926.7809211,883.1991315,988.0878864,1007.741517,838.0328761,,
Rwanda,RWA,GDP per capita (current US$),733.9986299,729.5191338,758.3009665,771.7735112,810.0514121,778.7014989,829.5448453,975.4693237,1027.034468,999.6545617,841.4048351,1581,0.532197872
Sierra Leone,SLE,GDP per capita (current US$),964.5759809,844.4164112,779.1860078,845.9145405,843.7125178,845.2775579,885.3964019,860.3710679,758.3291374,806.6546504,843.3834274,2220,0.379902445
Uganda,UGA,GDP per capita (current US$),862.9346104,752.6965717,765.2183323,792.1657002,822.17115,845.7664639,882.7917175,963.0673141,1002.309139,1077.912785,876.7033784,2314,0.378869221
Sudan,SDN,GDP per capita (current US$),1292.379639,1033.215942,966.5056763,731.0274658,709.9752808,577.7952271,712.1220093,1046.240845,797.2834473,984.607666,885.1153199,,
Togo,TGO,GDP per capita (current US$),751.0519876,772.5813576,792.765701,851.1205612,826.255209,863.4686659,962.0751875,951.2323787,1055.017279,1119.381605,894.4949933,,
Chad,TCD,GDP per capita (current US$),993.9907306,861.8317676,854.4612004,948.6566299,893.3364416,866.9478149,946.3585002,966.0364683,949.3334537,961.5597556,924.2512763,,
Tajikistan,TJK,GDP per capita (current US$),956.9163109,788.7104817,829.4571476,834.2884046,871.0223729,834.3117155,896.7480534,1052.179495,1178.479901,1341.20229,958.3316173,2158,0.444083233
Mali,MLI,GDP per capita (current US$),838.1198694,872.4685872,924.0575317,996.3792921,971.9493186,953.2429433,1027.273454,976.9141164,1043.953385,1094.619493,969.8977991,2179,0.445111427
Lesotho,LSO,GDP per capita (current US$),1121.198513,992.4918407,1069.366732,1170.655697,1082.057068,918.5825747,1066.586451,1030.125829,916.282977,971.9077182,1033.92554,2621,0.394477505
South Sudan,SSD,GDP per capita (current US$),1080.147186,,,,,,,,,,1080.147186,,
Tanzania,TZA,GDP per capita (current US$),939.1273193,953.0107422,986.6740112,1023.106262,1063.32251,1117.415283,1159.856567,1207.52063,1224.002197,1186.716919,1086.075244,2064,0.526199246
Guinea,GIN,GDP per capita (current US$),747.3569668,711.9965098,833.5986217,933.2736156,1031.341465,1053.660977,1244.965505,1416.59612,1555.493758,1694.953759,1122.32373,,
Nepal,NPL,GDP per capita (current US$),875.5436355,877.2564547,1034.283749,1179.198432,1203.142947,1154.215176,1252.750767,1385.910663,1382.330558,1447.310045,1179.194243,2132,0.553092984
Benin,BEN,GDP per capita (current US$),1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266,1318.651581,1266.42711,1394.177847,1485.380189,1201.532016,2101,0.571885776
Zambia,ZMB,GDP per capita (current US$),1295.877887,1239.085279,1483.465773,1463.899979,1258.986198,951.6443167,1127.160779,1447.123101,1330.727806,1187.109434,1278.508055,2262,0.565211342
Pakistan,PAK,GDP per capita (current US$),1380.470208,1424.691612,1519.234595,1569.338146,1390.41691,1278.397352,1455.319224,1538.322813,1360.324178,1478.77278,1439.528782,2439,0.590212703
Senegal,SEN,GDP per capita (current US$),1218.006136,1266.439572,1356.805184,1452.556126,1431.181289,1461.087204,1598.10677,1574.028106,1698.033873,1773.218299,1482.946256,2366,0.626773565
Comoros,COM,GDP per capita (current US$),1329.370482,1365.484034,1423.924803,1527.405271,1510.232182,1519.346656,1554.972892,1465.479643,1560.273785,1662.756633,1491.924638,1966,0.75886299
Haiti,HTI,GDP per capita (current US$),1411.126847,1318.402682,1395.239452,1496.38049,1352.172042,1290.325387,1841.331893,1760.626357,1705.758085,2142.623305,1571.398654,2184,0.719504878
Cameroon,CMR,GDP per capita (current US$),1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1720.475102,1830.008337,1590.20238,,
Mauritania,MRT,GDP per capita (current US$),1554.948979,1565.765757,1615.004013,1722.935289,1767.072711,1795.764596,1947.789184,1960.352401,2135.781876,2110.120369,1817.553518,2475,0.734365058
Kenya,KEN,GDP per capita (current US$),1489.119598,1554.126103,1667.484472,1836.452755,1960.408089,1927.66459,2061.356221,2109.562885,1942.588028,2132.434521,1868.119726,2371,0.787903723
Kiribati,KIR,GDP per capita (current US$),1639.852747,1742.667993,1853.051227,1912.738094,1750.997719,1751.782492,2222.048195,2069.767173,2177.701258,2288.634714,1940.924161,1420,1.366848001
Solomon Islands,SLB,GDP per capita (current US$),2045.477215,2082.623831,2143.576705,2278.199086,2223.658909,2063.32781,2043.444132,1877.781045,1882.643941,1933.555384,2057.428806,1799,1.143651365
Cambodia,KHM,GDP per capita (current US$),1547.320104,1675.195557,1826.353917,2036.673776,2225.877055,2081.739142,2167.403242,2325.0305,2429.748535,2627.879698,2094.322153,2101,0.996821586
India,IND,GDP per capita (current US$),1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2347.448294,2530.120313,2694.737809,2096.825774,2428,0.863602048
Bangladesh,BGD,GDP per capita (current US$),1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485928,2551.017738,2593.416117,2137.241495,2439,0.876277776
Sao Tome and Principe,STP,GDP per capita (current US$),1298.109466,1434.870181,1555.794778,1825.599718,1935.293182,2167.220018,2362.588272,2389.737298,2990.660614,3490.568835,2145.044236,,
Ghana,GHA,GDP per capita (current US$),1722.772828,1912.479913,2012.286626,2195.32166,2186.658227,2195.454817,2445.186625,2229.891226,2383.904105,2390.772377,2167.47284,2002,1.082653766
Nicaragua,NIC,GDP per capita (current US$),2074.456206,2131.687048,2182.61381,2035.165494,1958.620515,1938.447048,2138.385885,2322.89054,2609.444921,2847.539663,2223.925113,1898,1.171720291
Zimbabwe,ZWE,GDP per capita (current US$),1387.126326,1408.139453,3445.44941,2270.895319,2184.329239,2059.674454,2613.605421,2536.400502,2195.224921,2497.203322,2259.804837,2148,1.052050669
Nigeria,NGA,GDP per capita (current US$),2585.733607,2070.412734,1876.340271,2057.879446,3189.812865,2797.184581,2787.487792,2899.160475,2138.763837,1084.160418,2348.693603,,
Uzbekistan,UZB,GDP per capita (current US$),2803.19018,2753.379514,2190.604116,1813.085308,2041.384807,1978.280519,2258.519641,2578.666894,2878.968793,3161.700106,2445.777988,,
Papua New Guinea,PNG,GDP per capita (current US$),2484.59634,2316.394798,2477.76531,2566.368337,2575.772741,2429.611346,2607.578619,3102.289686,2966.068304,3006.705645,2653.315113,,
Honduras,HND,GDP per capita (current US$),2271.20266,2307.344684,2413.007656,2464.642415,2502.327443,2307.614943,2735.147515,3003.289968,3227.457625,3426.434833,2665.846974,2267,1.175936027
Angola,AGO,GDP per capita (current US$),3641.728939,2051.814621,2790.718869,2860.093648,2493.678844,1759.356199,2303.908127,3682.113151,2916.136633,2665.874448,2716.542348,2153,1.261747491
Djibouti,DJI,GDP per capita (current US$),2376.125547,2510.430008,2618.955211,2718.083388,2837.169023,2844.888106,3025.911264,3133.257798,3381.297797,3552.723351,2899.884149,,
Vanuatu,VUT,GDP per capita (current US$),2854.894123,2956.126448,3159.860558,3206.657487,3207.446505,3042.987116,3107.203129,3370.21192,3482.614582,3410.770232,3179.87721,1284,2.476539883
Philippines,PHL,GDP per capita (current US$),2909.85818,2985.19564,3038.12125,3168.510366,3400.789498,3227.579102,3484.385939,3548.069306,3804.082741,3984.831539,3355.142356,2111,1.589361609
Bhutan,BTN,GDP per capita (current US$),2954.040819,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907,3570.61258,3711.32768,3831.325355,,3424.850738,2829,1.210622389
Morocco,MAR,GDP per capita (current US$),3146.247803,3140.855469,3296.526611,3501.697998,3508.097656,3268.030273,3785.936279,3463.137695,3813.726074,4153.194336,3507.745019,2335,1.502246261
Ukraine,UKR,GDP per capita (current US$),2094.473877,2158.461182,2604.287598,3059.051758,3619.861572,3709.769287,4775.945801,4199.670898,5139.598145,5389.473145,3675.059326,2028,1.812159431
Tunisia,TUN,GDP per capita (current US$),4014.947737,3847.803544,3619.032473,3628.103665,3528.872133,3548.653637,3906.939263,3707.292834,3951.116834,4181.137893,3793.390001,2304,1.646436633
Bolivia,BOL,GDP per capita (current US$),2996.012898,3035.873477,4048.401197,4206.855294,4203.154929,3580.967618,4010.760537,4219.461137,4274.708205,4421.166099,3899.736139,1976,1.973550678
Sri Lanka,LKA,GDP per capita (current US$),4057.715835,4149.191908,4398.888281,4358.560959,4081.947727,3847.601377,3996.9624,3342.636503,3798.890166,4515.567873,4054.796303,2205,1.838909888
Indonesia,IDN,GDP per capita (current US$),3288.222697,3521.469435,3798.883262,3860.953531,4106.948562,3853.702888,4287.17314,4730.834848,4876.307745,4925.430488,4124.99266,2080,1.983169548
Jordan,JOR,GDP per capita (current US$),4042.756781,3986.71677,4065.616287,4145.439897,4170.1144,4022.040136,4183.499983,4332.251599,4466.083142,4618.095925,4203.261492,2444,1.719828761
Samoa,WSM,GDP per capita (current US$),4084.360838,4147.070977,4307.59382,4231.814095,4351.942349,4099.596605,4021.559349,4132.447177,4822.740847,5392.877619,4359.200368,2314,1.88383767
El Salvador,SLV,GDP per capita (current US$),3790.340891,3901.34015,4020.126714,4183.54621,4320.116715,3997.192796,4642.607431,5074.602102,5365.444914,5579.659692,4487.497762,2246,1.997995441
Namibia,NAM,GDP per capita (current US$),4774.106509,4395.687762,5143.960723,5308.608134,4731.921032,3878.58983,4412.835569,4349.799085,4187.605004,4413.127522,4559.624117,2335,1.952729815
Mongolia,MNG,GDP per capita (current US$),3838.92127,3619.900264,3645.967087,4107.642885,4347.546103,4001.251931,4517.61578,4993.514875,5838.631081,6750.630116,4566.162139,2460,1.856163471
Algeria,DZA,GDP per capita (current US$),4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4960.303343,5370.477235,5752.990767,4669.824813,2272,2.05538064
Tonga,TON,GDP per capita (current US$),4123.90324,3987.986262,4365.929328,4675.047913,4788.833423,4792.358547,4922.801714,5298.019415,5651.593731,,4734.052619,1992,2.376532439
Moldova,MDA,GDP per capita (current US$),2749.551371,2847.087948,3453.267277,4156.44982,4405.334182,4375.778893,5274.605822,5744.296184,6799.585946,7576.195894,4738.215334,2064,2.295646964
Guatemala,GTM,GDP per capita (current US$),3893.505333,4060.137847,4324.997689,4352.945933,4511.998396,4477.61785,4912.622404,5358.70157,5758.327608,6150.025714,4780.088034,,
Tuvalu,TUV,GDP per capita (current US$),3357.834177,3808.69755,4165.663387,4466.120349,5115.13076,4976.112541,5905.081981,5911.327271,6344.775019,,4894.527004,,
Armenia,ARM,GDP per capita (current US$),3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8159.08721,8556.21407,5194.024315,2085,2.49113876
Iraq,IRQ,GDP per capita (current US$),4440.141893,4334.420964,4759.284644,5646.689321,5671.856863,4295.189451,4868.494311,6520.731546,5965.318351,6073.610323,5257.573767,1648,3.190275344
Azerbaijan,AZE,GDP per capita (current US$),5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7133.02838,7283.849908,5489.936356,1789,3.068717918
Fiji,FJI,GDP per capita (current US$),5097.531069,5363.790267,5826.848145,6085.419795,5842.073446,4620.645724,4536.733121,5414.120921,5926.205864,6425.741517,5513.910987,,
Marshall Islands,MHL,GDP per capita (current US$),3764.344262,4229.809889,4592.834576,4858.120791,5292.339855,5661.967873,6315.312796,6455.660622,6793.244959,7726.336689,5568.997231,1971,2.8254679
Georgia,GEO,GDP per capita (current US$),4086.622347,4143.401257,4418.752065,4804.054604,4741.283272,4300.857013,5083.606955,6729.846599,8283.669607,9241.491223,5583.358494,2106,2.651167376
Turkmenistan,TKM,GDP per capita (current US$),5759.497904,5686.98041,5828.481662,6125.051697,5998.001743,5972.723566,5723.302272,5837.842245,6231.913238,6856.658027,6002.045276,,
Paraguay,PRY,GDP per capita (current US$),5879.337923,5775.159634,6152.267115,6258.449916,5821.181995,5365.472207,5976.931798,6205.625954,6299.990265,6416.09709,6015.05139,,
Jamaica,JAM,GDP per capita (current US$),5339.307183,5302.295534,5605.435412,5976.903626,6030.688964,5299.045308,5625.678063,6626.475024,7542.400843,7753.800696,6110.203065,2220,2.752343723
Suriname,SUR,GDP per capita (current US$),8813.617054,5644.206106,6049.521286,6665.741805,6629.667752,4755.392217,5029.848385,6084.438767,5521.976021,6961.78956,6215.619895,,
Ecuador,ECU,GDP per capita (current US$),5976.159681,5917.637713,6233.322448,6303.918867,6205.057652,5463.645153,6061.323502,6515.585284,6737.847484,6874.70574,6228.920352,1997,3.119138885
South Africa,ZAF,GDP per capita (current US$),6112.273825,5651.205852,6618.335083,6914.178032,6533.71121,5580.603831,6828.756246,6534.248678,6034.27209,6267.186814,6307.477166,2215,2.847619488
Belize,BLZ,GDP per capita (current US$),6154.622642,6140.867139,6071.854518,6011.990369,6171.614498,5238.540782,6142.989306,7068.21728,7424.758213,7681.244006,6410.669875,2028,3.16107982
Colombia,COL,GDP per capita (current US$),6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6680.445069,7000.836605,7919.208868,6514.020265,2298,2.834647635
Lebanon,LBN,GDP per capita (current US$),7714.11,8089.012088,8608.21085,9174.536662,8905.880055,5561.19167,4045.373911,3654.358455,3477.724898,,6581.155399,2475,2.659052686
Bosnia and Herzegovina,BIH,GDP per capita (current US$),4662.258692,4928.56659,5345.019788,6047.847072,6122.375414,6130.31188,7295.343787,7655.59421,8663.023265,9358.78769,6620.912839,,
Albania,ALB,GDP per capita (current US$),4199.539129,4457.634122,5006.36013,5897.654526,6069.439031,6027.913507,7242.455131,7756.961887,9730.869219,11377.77574,6776.660242,2168,3.125765794
Thailand,THA,GDP per capita (current US$),5688.853354,5833.577156,6413.091825,7099.776501,7605.696578,6985.643939,7057.207548,6909.352818,7195.101309,7346.620221,6813.492125,2200,3.097041875
Belarus,BLR,GDP per capita (current US$),5967.055951,5039.775609,5785.544919,6360.037502,6837.773396,6542.8558,7489.718947,7994.648061,7896.753883,8317.633999,6823.179807,2033,3.356212399
Peru,PER,GDP per capita (current US$),6231.711503,6217.036,6736.166937,6978.491215,7037.008037,6133.325524,6826.202556,7350.630343,7887.541859,8452.371671,6985.048565,2241,3.116933764
Botswana,BWA,GDP per capita (current US$),6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.297497,7807.887946,8328.709057,7826.353765,7695.753194,7255.727833,2278,3.185130743
Equatorial Guinea,GNQ,GDP per capita (current US$),9068.910032,7453.197979,7809.104657,8102.470848,6804.149231,5764.055029,6945.630698,7589.299649,6677.793435,6745.400132,7296.001169,,
Gabon,GAB,GDP per capita (current US$),7047.126546,6677.070039,6921.733731,7624.277523,7441.178647,6605.803461,8181.409141,8409.207415,7802.824333,8230.043115,7494.067395,,
Libya,LBY,GDP per capita (current US$),7458.489178,7525.802993,9965.832367,11196.58548,9963.194891,6650.338106,4935.827873,5986.636949,6026.515187,6569.164087,7627.838711,,
Dominican Republic,DOM,GDP per capita (current US$),6800.953094,7160.44201,7412.715716,7882.982216,8183.016236,7135.222733,8527.075486,10104.24493,10630.43174,10875.66184,8471.2746,2122,3.992118096
Cuba,CUB,GDP per capita (current US$),7727.919972,8110.558743,8610.608296,8911.46206,9232.261159,9605.279146,,,,,8699.681563,2132,4.080526061
Serbia,SRB,GDP per capita (current US$),5820.321558,5982.370301,6548.036538,7559.861657,7755.632986,8098.709557,9680.527981,10024.81911,12281.70795,13679.2066,8743.119424,2184,4.003259809
Dominica,DMA,GDP per capita (current US$),8282.598747,8802.56172,8224.648966,9215.308541,9491.14996,7827.748427,8376.404141,9323.660895,9912.962128,10405.27878,8986.232231,,
Montenegro,MNE,GDP per capita (current US$),6421.003073,6968.015394,7674.281394,8673.591281,8749.023752,7538.53636,9317.155201,10024.54356,12259.8775,13263.32813,9088.935565,2252,4.035939416
Brazil,BRA,GDP per capita (current US$),8936.195589,8836.28546,10080.50787,9300.660729,9029.833044,7074.194075,7972.536961,9281.332821,10377.58977,10310.54888,9119.96852,2028,4.497025897
