date,AL,DZ,AO,AR,AU,AT,AZ,BS,BH,BD,BY,BE,BJ,BT,BO,BA,BR,BG,CA,CL,CO,CR,CI,HR,CY,CZ,DK,EC,EG,EE,FI,FR,GA,GE,DE,GR,GD,HN,HK,HU,IN,ID,IR,IQ,IE,IM,IL,IT,JP,JE,JO,KE,KW,LA,LV,LB,LT,LU,MW,MY,MV,MX,MD,MN,ME,MA,MM,NA,NP,NL,NZ,NI,NG,MK,NO,OM,PK,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,WS,SA,SN,RS,SG,SK,SI,ZA,KR,ES,LK,SE,CH,TW,TZ,TH,TN,TR,UG,UA,AE,GB,US,UY,VE,VN,YE
01-01-2015,0,0,0,13.77,15.05,0,0,0,0,17.6,0,0,0,0,0,30.53,5.5,0,11.73,13.25,12,0,0,36.9,0,0,6.9,0,12.32,0,6.84,0.96,0,0,2,13.95,0,0,0,0,10,4.56,0,0,8.05,0,11.39,6,0,0,0,0,0,0,0,0,34.02,0,0,12.35,0,5.28,0,0,0,0,0,0,0,8.82,12.54,0,0,0,6.15,0,36.48,0,0,0,0,4.85,26.79,4.2,14.43,0,19.72,2.73,0,5.28,0,25.97,0,0,0,28.7,0,8.36,17.92,12.06,0,0,0,0,0,13.5,0,0,10.8,9.4,9.52,27,12,0,0
01-02-2015,0,0,0,14.79,15.4,0,0,0,0,0,0,0,0,0,2.8,0,4.4,0,10.58,17,0,0,0,27.06,0,0,0,8,12.96,0,5.4,1.92,0,0,2.36,12.4,0,0,0,0,9.5,4.26,0,0,8.74,0,0,3.24,0.93,0,0,17.85,0,0,0,0,0,0,0,16.72,0,3.42,0,0,0,0,0,0,0,8.46,12.87,0,0,0,0,0,34.77,0,0,0,0,0,22.09,4,20.35,0,13.63,0,0,0,0,25.48,28,0,0,20.3,4,7.48,23.04,10.8,0,0,0,0,0,19.75,0,0,21.06,10,8.54,0,11.1,0,0
01-03-2015,0,0,0,13.26,11.9,0,0,0,0,0,0,0,0,0,0,0,4.62,0,8.28,15.25,7.2,0,0,17.63,0,0,5.25,0,11.84,0,6.12,1.6,23,0,1.88,9.61,0,0,0,0,9.75,3.42,0,0,10.35,0,0,3.48,0,0,0,15.12,0,0,0,0,0,0,0,10.07,0,2.58,0,0,0,0,0,0,0,5.58,6.6,0,0,0,0,0,37.62,0,0,0,0,0,28.2,3.1,14.8,0,13.92,0,0,0,0,24.01,14.56,0,0,23.8,0,7.37,19.84,5.4,0,0,0,0,0,12.25,0,0,17.01,7.6,6.72,19.71,9.9,0,0
01-04-2015,0,0,0,17,35,0,0,0,0,0,0,7.7,0,0,0,0,7.81,0,23,25,8.76,0,0,27.88,30,0,15,7.6,10.72,0,8.28,4,0,0,2.04,17.67,0,0,0,0,17.25,4.08,0,0,23,0,10.54,3.66,0,0,0,0,0,0,0,0,32.76,0,0,16.91,0,6,0,0,0,0,0,0,0,14.58,33,0,0,0,15,0,43.32,0,0,0,0,4.15,47,6.3,37,0,27.55,0,0,0,10,37.24,28,0,26,34.3,0,10.23,51.84,17.82,4.98,0,0,14.3,0,25,0,0,23.76,20,14,0,11.85,0,0
01-05-2015,0,0,0,12.75,25.9,0,0,0,0,0,0,6.86,0,0,0,0,6.6,0,18.63,11,10.2,0,0,31.57,0,0,7.8,0,0,0,6.66,3.28,0,0,2.72,16.74,0,0,0,7.28,17.25,3.78,0,0,15.18,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,19,0,4.08,0,0,0,0,0,65,0,15.12,15.84,0,7,0,7.95,0,47.88,0,0,0,0,0,33.84,4.5,25.9,0,26.1,2.37,0,0,0,32.83,21.84,0,0,28,0,11,39.04,13.14,4.08,0,0,0,0,13.5,0,0,11.88,12.6,10.78,17.28,8.7,0,0
01-06-2015,0,20,0,12.41,28.7,0,0,0,0,22,0,9.94,0,0,0,0,7.26,0,16.33,20.75,8.16,0,0,39.77,24.3,12,7.05,7.12,12.64,0,10.08,3.28,0,0,2.84,18.29,0,0,0,0,16.5,6,0,0,15.64,0,14.11,4.2,1,0,0,21,0,0,0,0,0,0,0,14.25,0,4.86,0,0,0,0,0,0,0,10.8,15.51,0,0,0,6.6,0,54.72,0,0,0,0,0,35.72,6.3,25.53,0,29,2.82,0,11,0,27.93,28,0,0,35,0,9.9,49.28,8.64,0,0,0,14.74,0,17.5,0,0,27,11.4,10.22,21.33,0,0,0
01-07-2015,0,0,0,9.52,8.05,0,0,0,0,0,0,0,0,0,0,0,4.95,0,5.75,10,7.32,0,0,13.94,0,0,0,0,12,0,5.94,1,0,0,1.92,8.06,0,0,0,0,7.5,3.96,0,0,6.9,0,7.31,2.04,0,0,0,0,0,0,33.15,0,0,0,0,14.63,0,3.72,0,0,0,0,0,0,0,7.74,8.58,0,0,0,6.9,0,35.91,0,0,0,12,0,23.97,3.3,14.06,0,12.47,0,0,10.67,0,18.13,0,0,0,16.1,0,6.27,0,7.02,0,0,0,0,0,0,0,0,14.04,7,5.88,0,11.4,0,0
01-08-2015,0,10.2,0,10.71,7,0,0,0,0,0,0,0,0,0,0,0,3.74,16,7.82,10.5,5.64,0,0,15.99,0,0,5.4,0,7.84,0,4.86,1.84,0,0,0,11.78,0,0,0,13,7.75,3.54,0,0,9.89,0,13.94,3.42,0,0,0,9.03,0,0,34.32,0,30.24,0,0,11.59,0,3.36,0,0,0,0,0,0,0,9.18,6.27,0,0,0,0,0,32.49,0,0,0,0,5,17.86,0,15.54,0,24.65,0,0,6.05,0,0,0,0,0,18.55,0,5.39,23.04,12.78,0,0,0,0,0,9.5,0,0,12.15,7,6.58,0,0,0,0
01-09-2015,33,0,0,7.82,7,0,0,0,0,15.18,0,0,0,0,0,0,3.96,0,6.21,7,8.04,0,0,14.76,0,0,0,0,0,0,0,0.96,0,0,2.56,8.99,0,0,0,7.93,7.25,4.74,0,0,6.21,0,12.07,2.82,0,0,0,0,0,0,0,0,0,0,0,12.92,0,3,0,0,0,0,0,0,0,6.48,0,0,0,0,0,0,30.78,0,0,0,0,0,21.62,4.5,12.95,0,17.69,0,0,6.27,0,26.95,11.48,0,0,17.15,0,5.5,20.48,6.3,0,0,0,0,0,13.5,0,0,0,6.2,5.74,0,11.1,0,0
01-10-2015,0,0,0,8.67,5.95,0,0,0,0,12.1,0,0,0,0,0,0,3.85,0,5.75,11.75,5.64,0,0,31.16,0,0,4.35,0,0,0,6.12,1.24,0,0,1.72,8.37,0,0,0,0,7.5,0,0,0,8.74,0,8.16,1.8,0,0,0,0,0,0,0,0,26.88,0,0,10.26,0,2.16,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,30.78,0,0,0,0,4.1,31.96,3,14.06,0,15.95,0,0,4.18,0,17.15,0,0,0,17.85,0,5.72,0,6.3,0,0,0,0,0,14.5,0,0,10.53,6,5.88,0,0,0,0
