date,AL,DZ,AO,AR,AU,AT,AZ,BS,BH,BD,BY,BE,BJ,BT,BO,BA,BR,BG,CA,CL,CO,CR,CI,HR,CY,CZ,DK,EC,EG,EE,FI,FR,GA,GE,DE,GR,GD,HN,HK,HU,IN,ID,IR,IQ,IE,IM,IL,IT,JP,JE,JO,KE,KW,LA,LV,LB,LT,LU,MW,MY,MV,MX,MD,MN,ME,MA,MM,NA,NP,NL,NZ,NI,NG,MK,NO,OM,PK,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,WS,SA,SN,RS,SG,SK,SI,ZA,KR,ES,LK,SE,CH,TW,TZ,TH,TN,TR,UG,UA,AE,GB,US,UY,VE,VN,YE
2015-01-01,0,0,0,81,43,0,0,0,0,80,0,0,0,0,0,71,50,0,51,53,100,0,0,90,0,0,46,0,77,0,38,24,0,0,50,45,0,0,0,0,40,76,0,0,35,0,67,100,0,0,0,0,0,0,0,0,81,0,0,65,0,88,0,0,0,0,0,0,0,49,38,0,0,0,41,0,64,0,0,0,0,97,57,42,39,0,68,91,0,48,0,53,0,0,0,82,0,76,28,67,0,0,0,0,0,54,0,0,40,47,68,100,80,0,0
2015-02-01,0,0,0,87,44,0,0,0,0,0,0,0,0,0,35,0,40,0,46,68,0,0,0,66,0,0,0,100,81,0,30,48,0,0,59,40,0,0,0,0,38,71,0,0,38,0,0,54,93,0,0,85,0,0,0,0,0,0,0,88,0,57,0,0,0,0,0,0,0,47,39,0,0,0,0,0,61,0,0,0,0,0,47,40,55,0,47,0,0,0,0,52,100,0,0,58,100,68,36,60,0,0,0,0,0,79,0,0,78,50,61,0,74,0,0
2015-03-01,0,0,0,78,34,0,0,0,0,0,0,0,0,0,0,0,42,0,36,61,60,0,0,43,0,0,35,0,74,0,34,40,100,0,47,31,0,0,0,0,39,57,0,0,45,0,0,58,0,0,0,72,0,0,0,0,0,0,0,53,0,43,0,0,0,0,0,0,0,31,20,0,0,0,0,0,66,0,0,0,0,0,60,31,40,0,48,0,0,0,0,49,52,0,0,68,0,67,31,30,0,0,0,0,0,49,0,0,63,38,48,73,66,0,0
2015-04-01,0,0,0,100,100,0,0,0,0,0,0,55,0,0,0,0,71,0,100,100,73,0,0,68,100,0,100,95,67,0,46,100,0,0,51,57,0,0,0,0,69,68,0,0,100,0,62,61,0,0,0,0,0,0,0,0,78,0,0,89,0,100,0,0,0,0,0,0,0,81,100,0,0,0,100,0,76,0,0,0,0,83,100,63,100,0,95,0,0,0,100,76,100,0,100,98,0,93,81,99,83,0,0,65,0,100,0,0,88,100,100,0,79,0,0
2015-05-01,0,0,0,75,74,0,0,0,0,0,0,49,0,0,0,0,60,0,81,44,85,0,0,77,0,0,52,0,0,0,37,82,0,0,68,54,0,0,0,56,69,63,0,0,66,0,0,52,0,0,0,0,0,0,0,0,0,0,0,100,0,68,0,0,0,0,0,100,0,84,48,0,100,0,53,0,84,0,0,0,0,0,72,45,70,0,90,79,0,0,0,67,78,0,0,80,0,100,61,73,68,0,0,0,0,54,0,0,44,63,77,64,58,0,0
2015-06-01,0,100,0,73,82,0,0,0,0,100,0,71,0,0,0,0,66,0,71,83,68,0,0,97,81,80,47,89,79,0,56,82,0,0,71,59,0,0,0,0,66,100,0,0,68,0,83,70,100,0,0,100,0,0,0,0,0,0,0,75,0,81,0,0,0,0,0,0,0,60,47,0,0,0,44,0,96,0,0,0,0,0,76,63,69,0,100,94,0,100,0,57,100,0,0,100,0,90,77,48,0,0,0,67,0,70,0,0,100,57,73,79,0,0,0
2015-07-01,0,0,0,56,23,0,0,0,0,0,0,0,0,0,0,0,45,0,25,40,61,0,0,34,0,0,0,0,75,0,33,25,0,0,48,26,0,0,0,0,30,66,0,0,30,0,43,34,0,0,0,0,0,0,85,0,0,0,0,77,0,62,0,0,0,0,0,0,0,43,26,0,0,0,46,0,63,0,0,0,100,0,51,33,38,0,43,0,0,97,0,37,0,0,0,46,0,57,0,39,0,0,0,0,0,0,0,0,52,35,42,0,76,0,0
2015-08-01,0,51,0,63,20,0,0,0,0,0,0,0,0,0,0,0,34,100,34,42,47,0,0,39,0,0,36,0,49,0,27,46,0,0,0,38,0,0,0,100,31,59,0,0,43,0,82,57,0,0,0,43,0,0,88,0,72,0,0,61,0,56,0,0,0,0,0,0,0,51,19,0,0,0,0,0,57,0,0,0,0,100,38,0,42,0,85,0,0,55,0,0,0,0,0,53,0,49,36,71,0,0,0,0,0,38,0,0,45,35,47,0,0,0,0
2015-09-01,100,0,0,46,20,0,0,0,0,69,0,0,0,0,0,0,36,0,27,28,67,0,0,36,0,0,0,0,0,0,0,24,0,0,64,29,0,0,0,61,29,79,0,0,27,0,71,47,0,0,0,0,0,0,0,0,0,0,0,68,0,50,0,0,0,0,0,0,0,36,0,0,0,0,0,0,54,0,0,0,0,0,46,45,35,0,61,0,0,57,0,55,41,0,0,49,0,50,32,35,0,0,0,0,0,54,0,0,0,31,41,0,74,0,0
2015-10-01,0,0,0,51,17,0,0,0,0,55,0,0,0,0,0,0,35,0,25,47,47,0,0,76,0,0,29,0,0,0,34,31,0,0,43,27,0,0,0,0,30,0,0,0,38,0,48,30,0,0,0,0,0,0,0,0,64,0,0,54,0,36,0,0,0,0,0,0,0,38,0,0,0,0,0,0,54,0,0,0,0,82,68,30,38,0,55,0,0,38,0,35,0,0,0,51,0,52,0,35,0,0,0,0,0,58,0,0,39,30,42,0,0,0,0
2015-11-01,0,0,0,35,16,0,0,0,0,61,0,0,0,0,0,0,35,88,28,38,34,0,0,70,0,0,0,0,49,0,0,47,0,0,48,30,0,0,0,58,29,58,0,0,0,0,61,41,0,0,78,0,0,0,0,0,0,0,0,93,0,49,0,0,0,0,0,0,0,34,27,0,0,0,0,0,46,0,0,0,0,0,44,33,50,0,31,71,0,54,0,41,65,0,0,50,0,43,38,0,0,0,0,0,0,34,0,0,38,26,40,0,60,0,0
2015-12-01,0,0,0,34,15,0,0,0,0,0,0,0,0,0,0,0,28,90,22,42,75,0,0,65,0,0,41,0,0,0,0,30,0,0,0,27,0,0,0,0,34,67,0,0,36,0,0,41,0,0,0,0,0,0,0,0,0,0,0,80,0,56,0,0,0,0,0,0,0,31,21,0,0,0,0,0,33,0,0,0,0,0,54,27,54,0,31,0,0,46,0,37,53,0,0,44,0,52,30,29,0,0,0,62,0,36,0,0,35,25,36,0,64,0,0
2016-01-01,0,38,0,48,16,0,0,0,0,43,0,27,0,0,0,0,35,0,21,45,0,0,0,51,0,0,0,0,0,0,0,20,0,0,0,22,0,0,0,0,23,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,23,25,0,0,0,0,0,46,0,0,0,0,0,45,0,46,0,36,70,0,0,0,40,0,0,0,29,0,43,0,34,0,0,0,0,0,35,0,0,44,25,33,0,68,100,0
2016-02-01,0,0,0,51,15,0,0,0,0,0,0,0,0,0,0,0,29,0,19,0,0,0,0,53,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,23,35,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,42,0,34,0,0,0,0,0,0,0,25,0,0,0,0,0,0,40,0,0,0,0,0,30,36,30,0,28,0,0,0,0,45,0,0,0,35,0,36,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,0,0
