Year,Quarter,Period_Label,Netflix_%,Amazon_%,Hulu_%,HBO_GO_%,Disney+_%,Total_Streaming_%,Netflix_Share,Amazon_Share,Hulu_Share,HBO_Share,Disney_Share,HHI,Fragmentation_Index
2011,Q4,2011 Q4,32.69,0,0.8,0,0,33.49,97.6,0,2.4,0,0,9533,467
2012,Q2,2012 Q2,32.9,0,1.6,0,0,34.5,95.4,0,4.6,0,0,9126,874
2012,Q4,2012 Q4,33,1.75,1.38,0.52,0,36.65,90,4.8,3.8,1.4,0,8144,1856
2013,Q2,2013 Q2,32.25,1.31,2.41,0.34,0,36.31,88.8,3.6,6.6,0.9,0,7962,2038
2013,Q4,2013 Q4,31.62,1.61,1.29,0,0,34.52,91.6,4.7,3.7,0,0,8456,1544
2014,Q2,2014 Q2,34.21,1.9,1.74,0,0,37.85,90.4,5,4.6,0,0,8234,1766
2014,Q4,2014 Q4,34.89,2.58,1.41,1,0,39.88,87.5,6.5,3.5,2.5,0,7770,2230
2015,Q2,2015 Q2,36.48,1.97,1.91,0,0,40.36,90.4,4.9,4.7,0,0,8222,1778
2015,Q4,2015 Q4,37.05,3.11,2.58,0,0,42.74,86.7,7.3,6,0,0,7603,2397
2016,Q2,2016 Q2,35.15,4.26,2.68,0,0,42.09,83.5,10.1,6.4,0,0,7140,2860
2018,Q4,2018 Q4,30.71,11.15,0,0,0,41.86,73.4,26.6,0,0,0,6085,3915
2019,Q4,2019 Q4,19.2,3.87,0,0,0,23.07,83.2,16.8,0,0,0,7205,2795
2020,Q2,2020 Q2,19.11,2.89,2.85,0,2,26.85,71.2,10.8,10.6,0,7.4,5474,4526
2022,Q4,2022 Q4,20.96,2.89,0,0,3.81,27.66,75.8,10.4,0,0,13.8,6111,3889
2023,Q4,2023 Q4,23.48,2.93,1.65,0,3.53,31.59,74.3,9.3,5.2,0,11.2,5847,4153
2024,Q4,2024 Q4,11,11,0,0,6,28,39.3,39.3,0,0,21.4,3693,6307
