Keyword,Date,Value,Date Delisted,Difference
AimX,26-11-2023,100,01-10-2023,-56
And So It Was,03-01-2019,100,01-01-2019,-2
Aruna,12-04-2023,100,01-02-2023,-70
Babel Rising,29-01-2017,100,01-12-2016,-59
Balanced Politics Simulator,03-11-2021,93,01-10-2021,-33
BASMENT DWELLERS,23-02-2024,100,01-11-2023,-114
Boss Hunter,24-09-2024,94,01-06-2024,-115
Boss Monster,13-05-2019,100,01-05-2019,-12
Citizens of Earth,22-07-2023,100,01-07-2023,-21
Crimson Memories,04-03-2021,78,01-03-2021,-3
Crystal Spires,20-04-2021,100,01-02-2021,-78
Deathgarden: BLOODHARVEST,31-05-2020,100,01-07-2020,31
DEEP SPACE WAIFU: NEKOMIMI,09-10-2024,92,01-11-2024,23
Devil's Dungeon,29-10-2025,100,01-10-2025,-28
Dino Dini's Kick Off Revival,15-05-2023,100,01-09-2023,109
DinoBlits,21-02-2024,100,01-06-2024,101
Disney's The Jungle Book,08-05-2019,100,01-07-2019,54
Domina,09-05-2022,100,01-09-2022,115
Entropy,28-08-2017,79,01-11-2017,65
Erebe,31-03-2023,100,01-06-2023,62
Evolution RTS,21-09-2020,100,01-06-2020,-112
Falling Slime,23-07-2023,100,01-08-2023,9
Fashion Show Makeover Mega Pack,15-01-2021,64,01-12-2020,-45
Fight the Landlord,27-06-2023,76,01-04-2023,-87
Ford Street Racing,05-03-2018,100,01-01-2018,-63
Forge and Fight,25-08-2024,100,01-09-2024,7
Goth Dating Sim 2022,28-04-2022,100,01-03-2022,-58
HITMAN™ 2,01-03-2023,100,01-01-2023,-59
Hyper Train Corporation,10-12-2021,100,01-01-2022,22
Indie Game Battle,31-01-2019,76,01-05-2019,90
Joe Jump,28-12-2024,100,01-01-2025,4
Kendo,21-09-2020,100,01-11-2020,41
Keyhole Spy: Naughty Witches,15-07-2019,100,01-10-2019,78
Kula,14-02-2024,100,01-06-2024,108
Legion Defense,01-07-2025,100,01-10-2025,92
Levis Umbra,26-05-2023,100,01-03-2023,-86
LiveTale,01-10-2025,100,01-11-2025,31
Lost In Sweets,09-09-2024,100,01-08-2024,-39
Magic Tower & Maidens,27-04-2023,100,01-03-2023,-57
Mega City Police: Prelude,19-07-2023,100,01-07-2023,-18
Megaloot: Prelude,23-09-2024,100,01-08-2024,-53
Meta-Ghost: Prologue,14-04-2024,100,01-04-2024,-13
Motocross: Chasing the Dream,22-02-2024,95,01-02-2024,-21
NOMU,30-10-2025,72,01-08-2025,-90
North Of Iraq Part 1,26-10-2021,100,01-12-2021,36
PLANNES,09-01-2024,100,01-10-2023,-100
Protein for Muscle,14-02-2022,100,01-01-2022,-44
Rats - Time is running out!,16-02-2021,100,01-05-2021,74
RealFlight 9.5S,12-09-2022,100,01-10-2022,19
"Resident Evil 2 ""1-Shot Demo""",28-05-2019,100,01-02-2019,-116
Reverse Me! Rez/Ru,07-09-2020,100,01-07-2020,-68
Ricochet: Lost Worlds,07-07-2010,100,01-08-2010,25
Rocket League,03-10-2020,100,01-09-2020,-32
S.O.T.A 2,30-04-2025,100,01-06-2025,32
Samurai Aces,17-10-2025,100,01-10-2025,-16
Ski Jumping PVP,20-07-2024,100,01-09-2024,43
Smashing Toys,02-12-2009,100,01-12-2009,-1
Sophont,17-05-2022,100,01-07-2022,45
SPALG,11-11-2025,100,01-11-2025,-10
Survival Frenzy,28-10-2020,95,01-07-2020,-119
Sycamore Free,01-06-2024,100,01-04-2024,-61
T.E.C. 3001,24-03-2019,100,01-01-2019,-82
The Adventures of Golly,20-11-2019,70,01-10-2019,-50
The Forgotten Tapes: Analog Nightmares,29-07-2024,100,01-11-2024,95
The Molfar: Call of Heart,19-03-2025,68,01-02-2025,-46
Tower of Arcana,20-11-2020,100,01-11-2020,-19
Trickshot,23-04-2023,100,01-05-2023,8
UNCONSCIOUS,06-06-2016,100,01-06-2016,-5
Unfazed,13-07-2020,100,01-08-2020,19
Unreal Estate,11-10-2019,79,01-11-2019,21
Wacky Wheels HD,17-07-2020,100,01-05-2020,-77
Wage Slave TD: Prologue,17-01-2024,100,01-04-2024,75
Wolfenstein 3D: Spear of Destiny,03-09-2022,87,01-09-2022,-2
WRC Powerslide,03-01-2015,100,01-01-2015,-2
Written in the Sky,03-05-2019,100,01-09-2019,121
Zula Europe,21-02-2021,100,01-02-2021,-20
